"authors","year","title","source_title","publisher","volume","issue","start_page","end_page","doi"
"Li, Yuyi; Zhai, Zhen; Ping, Cong; Zhang, Yitao; Pang, Huancheng; Dong, Guohao; Gao, Jiansheng",2019,"Effect of plough pan thickness on crop growth parameters, nitrogen uptake and greenhouse gas (CO2 and N2O) emissions in a wheat-maize double-crop rotation in the Northern China Plain: A one-year study","Agricultural Water Management","Elsevier BV","213",NA,"534","545","10.1016/j.agwat.2018.10.044"
"Möckel, Stefan",2015,"‘Best available techniques’ as a mandatory basic standard for more sustainable agricultural land use in Europe?","Land Use Policy","Elsevier BV","47","47","342","351","10.1016/j.landusepol.2015.04.021"
"Kibblewhite, M.G.; Chambers, B. J.; Goulding, Keith",2016,"How good is the evidence to support investment in soil protection","Soil Use and Management","Wiley","32",NA,"172","182","10.1111/sum.12236"
"Malobane, Mashapa E.; Nciizah, Adornis D.; Wakindiki, Isaiah I.C.; Mudau, Fhatuwani N.",2018,"Sustainable production of sweet sorghum for biofuel production through conservation agriculture in South Africa","Food and Energy Security","Wiley","7","3","e00129",NA,"10.1002/fes3.129"
"Redmile-Gordon, Marc; Armenise, E.; Hirsch, Penny R.; Brookes, Philip C.",2014,"Biodiesel co-product (BCP) decreases soil nitrogen (N) losses to groundwater.","Water, air, and soil pollution","Springer Netherlands","225","2","1831","1831","10.1007/s11270-013-1831-7"
"Wang, Hao; Wang, Shulan; Yu, Qi; Zhang, Yujiao; Wang, Rui; Li, Jun; Wang, Xiaoli",2020,"No tillage increases soil organic carbon storage and decreases carbon dioxide emission in the crop residue-returned farming system.","Journal of environmental management","Academic Press Inc.","261",NA,"110261",NA,"10.1016/j.jenvman.2020.110261"
"Davin, Edouard; Seneviratne, Sonia I.; Ciais, Philippe; Olioso, Albert; Wang, Tao",2014,"Preferential cooling of hot extremes from cropland albedo management","Proceedings of the National Academy of Sciences of the United States of America","Proceedings of the National Academy of Sciences","111","27","9757","9761","10.1073/pnas.1317323111"
"Fowler, David; Steadman, Claudia; Stevenson, David; Coyle, Mhairi; Rees, Robert M.; Skiba, Ute; Sutton, Mark A.; Cape, John N.; Dore, Anthony J.; Vieno, Massimo; Simpson, David; Zaehle, Sönke; Stocker, Benjamin D.; Rinaldi, Matteo; Facchini, Maria Cristina; Flechard, Christophe; Nemitz, Eiko; Twigg, Marsailidh; Erisman, J.W.; Butterbach-Bahl, Klaus; Galloway, James N.",2015,"Effects of global change during the 21st century on the nitrogen cycle","Atmospheric Chemistry and Physics","Copernicus GmbH","15","24","13849","13893","10.5194/acp-15-13849-2015"
"Bhowmik, Arnab; Fortuna, Ann-Marie; Cihacek, L. J.; Rahman, Shafiqur; Borhan, Saidul; Carr, Patrick M.",2017,"Use of laboratory incubation techniques to estimate greenhouse gas footprints from conventional and no-tillage organic agroecosystems","Soil Biology and Biochemistry","Elsevier BV","112",NA,"204","215","10.1016/j.soilbio.2017.04.015"
"Page, K. L.; Dang, Yash P.; Menzies, Neal W.; Dalal, Ram C.",2020,"No-till systems to sequester soil carbon: potential and reality","No-till Farming Systems for Sustainable Agriculture","Springer International Publishing",NA,NA,"301","317","10.1007/978-3-030-46409-7_18"
"Zheng, Huabin; Huang, Huang; Zhang, Canming; Jingyi, Li",2016,"National-scale paddy-upland rotation in Northern China promotes sustainable development of cultivated land","Agricultural Water Management","Elsevier BV","170",NA,"20","25","10.1016/j.agwat.2016.01.009"
"Dittmer, Kyle M.; Darby, Heather; Goeschel, Tyler; Adair, E. Carol",2020,"Benefits and tradeoffs of reduced tillage and manure application methods in a Zea mays silage system","Journal of environmental quality","ASA/CSSA/SSSA","49","5","1236","1250","10.1002/jeq2.20125"
"Bosco, Simona; Volpi, Iride; Antichi, Daniele; Ragaglini, Giorgio; Frasconi, Christian",2019,"Greenhouse Gas Emissions from Soil Cultivated with Vegetables in Crop Rotation under Integrated, Organic and Organic Conservation Management in a Mediterranean Environment","Agronomy","MDPI AG","9","8","446",NA,"10.3390/agronomy9080446"
"Fowler, D.; Steadman, C. E.; Stevenson, D.; Coyle, M.; Rees, R. M.; Skiba, U. M.; Sutton, M. A.; Cape, J. N.; Dore, A. J.; Vieno, M.; Simpson, D.; Zaehle, S.; Stocker, B. D.; Rinaldi, M.; Facchini, M. C.; Flechard, C. R.; Nemitz, E.; Twigg, M.; Erisman, J. W.; Galloway, J. N.",2015,"Effects of global change during the 21st century on the nitrogen cycle","Atmospheric Chemistry and Physics Discussions","Copernicus GmbH","15","2","1747","1868","10.5194/acpd-15-1747-2015"
"Valkama, Elena; Kunypiyaeva, Gulya; Zhapayev, Rauan; Karabayev, Muratbek; Zhusupbekov, Erbol; Perego, Alessia; Schillaci, Calogero; Sacco, Dario; Moretti, Barbara; Grignani, Carlo; Acutis, Marco",2020,"Can conservation agriculture increase soil carbon sequestration? A modelling approach","Geoderma","Elsevier BV","369",NA,"114298",NA,"10.1016/j.geoderma.2020.114298"
"Mulas, Daniel; Seco, Victoria; Casquero, Pedro A.; Velázquez, Encarna; González-Andrés, Fernando",2015,"Inoculation with indigenous rhizobium strains increases yields of common bean (Phaseolus vulgaris L.) in northern Spain, although its efficiency is affected by the tillage system","Symbiosis","Springer Science and Business Media LLC","67","1-3","113","124","10.1007/s13199-015-0359-6"
"Seneviratne, Sonia I.; Phipps, Steven J.; Pitman, Andrew J.; Hirsch, Annette L.; Davin, Edouard; Donat, Markus G.; Hirschi, Martin; Lenton, Andrew; Wilhelm, Micah; Kravitz, Ben",2018,"Land radiative management as contributor to regional-scale climate adaptation and mitigation","Nature Geoscience","Springer Science and Business Media LLC","11","2","88","96","10.1038/s41561-017-0057-5"
"Radicetti, Emanuele; Campiglia, Enio; Langeroodi, Alireza Safahani; Zsembeli, József; Mendler-Drienyovszki, Nóra; Mancinelli, Roberto",2020,"Soil carbon dioxide emissions in eggplants based on cover crop residue management","Nutrient Cycling in Agroecosystems","Springer Science and Business Media LLC","118","1","39","55","10.1007/s10705-020-10081-x"
"Farhate, Camila Viana Vieira; de Souza, Zigomar Menezes; La Scala, Newton; de Sousa, Allan Charlles Mendes; Santos, A. P. G.; Carvalho, João Luís Nunes",2019,"Soil tillage and cover crop on soil CO2 emissions from sugarcane fields","Soil Use and Management","Wiley","35","2","273","282","10.1111/sum.12479"
"Gupta, Dipak Kumar; Bhatia, Arti; Kumar, Amit; Das, Tapas; Jain, Niveta; Tomer, Ritu; Malyan, Sandeep K.; Fagodiya, R. K.; Dubey, Rachana; Pathak, Himanshu",2016,"Mitigation of greenhouse gas emission from rice–wheat system of the Indo-Gangetic plains: Through tillage, irrigation and fertilizer management","Agriculture, Ecosystems & Environment","Elsevier BV","230",NA,"1","9","10.1016/j.agee.2016.05.023"
"Rajendran, Karthika; Patil, Somanagouda B.; Kumar, Shiv",2015,"Phenotyping for Problem Soils","Phenomics in Crop Plants: Trends, Options and Limitations","Springer India",NA,NA,"129","146","10.1007/978-81-322-2226-2_9"
"O'Brien, Peter L.; Daigh, Aaron L.M.",2019,"Tillage practices alter the surface energy balance – A review","Soil and Tillage Research","Elsevier BV","195",NA,"104354",NA,"10.1016/j.still.2019.104354"
"Aravindakshan, Sreejith; Rossi, Frederick; Krupnik, Timothy J.",2015,"What does benchmarking of wheat farmers practicing conservation tillage in the eastern Indo-Gangetic Plains tell us about energy use efficiency? An application of slack-based data envelopment analysis","Energy","Elsevier BV","90","1","483","493","10.1016/j.energy.2015.07.088"
"Rao, Ch. Srinivasa; Veni, V. Girija; Prasad, J.V.N.S.; Sharma, K.L.; C, Chandrasekhar; Rohilla, P.P.; Singh, Y.V.",2017,"Improving carbon balance with climate-resilient management practices in tropical agro-ecosystems of Western India","Carbon Management","Informa UK Limited","8","2","175","190","10.1080/17583004.2017.1309202"
"Turk, Andrej",2013,"Wheat straw decomposition, N-mineralization and microbial biomass after 5 years of conservation tillage in Gleysol field",NA,NA,NA,NA,NA,NA,NA
"de Carvalho, Arminda Moreira; Bustamante, Mercedes M. C.; Coser, Thais Rodrigues; Marchão, Robélio Leandro; Malaquias, Juaci Vitória",2016,"Óxidos de nitrogênio e CO2 de Latossolo cultivado com milho em sucessão a plantas de cobertura","Pesquisa Agropecuária Brasileira","FapUNIFESP (SciELO)","51","9","1213","1222","10.1590/s0100-204x2016000900021"
"Janzen, H. Henry",2014,"Beyond carbon sequestration: soil as conduit of solar energy","European Journal of Soil Science","Wiley","66","1","19","32","10.1111/ejss.12194"
"Zhu-Barker, Xia; Easter, Mark; Swan, Amy; Carlson, Mary; Thompson, Lucas; Horwath, William R.; Paustian, Keith; Steenwerth, Kerri L.",2019,"Soil Management Practices to Mitigate Nitrous Oxide Emissions and Inform Emission Factors in Arid Irrigated Specialty Crop Systems","Soil Systems","MDPI AG","3","4","76",NA,"10.3390/soilsystems3040076"
"Lognoul, Margaux; Theodorakopoulos, Nicolas; Hiel, Marie-Pierre; Regaert, Donat; Broux, François; Heinesch, Bernard; Bodson, Bernard; Vandenbol, Micheline; Aubinet, Marc",2017,"Impact of tillage on greenhouse gas emissions by an agricultural crop and dynamics of N2O fluxes: Insights from automated closed chamber measurements","Soil and Tillage Research","Elsevier BV","167",NA,"80","89","10.1016/j.still.2016.11.008"
"Huang, Yawen; Ren, Wei; Wang, Lixin; Hui, Dafeng; Grove, John H.; Yang, Xiaojuan; Tao, Bo; Goff, Ben M.",2018,"Greenhouse gas emissions and crop yield in no-tillage systems: A meta-analysis","Agriculture, Ecosystems & Environment","Elsevier BV","268",NA,"144","153","10.1016/j.agee.2018.09.002"
"Zhang, Zhi-Sheng; Guo, Li-Jin; Liu, T.Q.; Li, Chengfang; Cao, Cougui",2015,"Effects of tillage practices and straw returning methods on greenhouse gas emissions and net ecosystem economic budget in rice-wheat cropping systems in central China","Atmospheric Environment","Elsevier BV","122",NA,"636","644","10.1016/j.atmosenv.2015.09.065"
"Langeroodi, Ali Reza Safahani; Osipitan, O. Adewale; Radicetti, Emanuele",2019,"Benefits of sustainable management practices on mitigating greenhouse gas emissions in soybean crop (Glycine max).","The Science of the total environment","Elsevier","660",NA,"1593","1601","10.1016/j.scitotenv.2019.01.074"
