"authors","year","title","source_title","publisher","volume","issue","start_page","end_page","doi"
"Dawson, L. E. R.; O'Kiely, Padraig; Moloney, A.P.; Vipond, J. E.; Wylie, A. R. G.; Carson, A. F.; Hyslop, J. J.",2011,"Grassland systems of red meat production: integration between biodiversity, plant nutrient utilisation, greenhouse gas emissions and meat nutritional quality.","Animal : an international journal of animal bioscience","Cambridge University Press","5","9","1432","1441","10.1017/s175173111100053x"
"Skinner, R. Howard",2008,"High biomass removal limits carbon sequestration potential of mature temperate pastures.","Journal of environmental quality","ASA/CSSA/SSSA","37","4","1319","1326","10.2134/jeq2007.0263"
"Rochette, Philippe",2008,"No-till only increases N2O emissions in poorly-aerated soils","Soil & Tillage Research","Elsevier","101","1","97","100",NA
"Six, Johan; Elliott, E. T.; Paustian, Keith",2000,"Soil macroaggregate turnover and microaggregate formation: a mechanism for C sequestration under no-tillage agriculture","Soil Biology and Biochemistry","Elsevier BV","32","14","2099","2103","10.1016/s0038-0717(00)00179-6"
"Butterbach-Bahl, Klaus; Papen, Hans; Rennenberg, Heinz",1997,"Impact of gas transport through rice cultivars on methane emission from rice paddy fields","Plant, Cell and Environment","Wiley","20","9","1175","1183","10.1046/j.1365-3040.1997.d01-142.x"
"Marschner, Bernd; Kalbitz, Karsten",2003,"Controls of bioavailability and biodegradability of dissolved organic matter in soils","Geoderma","Elsevier BV","113","3-4","211","235","10.1016/s0016-7061(02)00362-2"
"Tamminga, S",1996,"A review on environmental impacts of nutritional strategies in ruminants.","Journal of animal science","American Society of Animal Science","74","12","3112","3124","10.2527/1996.74123112x"
"Jank, Liana; Valle, C. B. do; de F. Carvalho, P.; Reynolds, S. G.; Frame, J.",2005,"New grasses and legumes: advances and perspectives for the tropical zones of Latin America.",NA,NA,NA,NA,"55","79",NA
"Rauh, B. L.; Basten, Christopher J.; Buckler, Edward S.",2002,"Quantitative trait loci analysis of growth response to varying nitrogen sources in Arabidopsis thaliana.","TAG. Theoretical and applied genetics. Theoretische und angewandte Genetik","Springer Verlag","104","5","743","750","10.1007/s00122-001-0815-y"
"Guo, L. B.; Gifford, R. M.",2002,"Soil carbon stocks and land use change: a meta analysis","Global Change Biology","Wiley","8","4","345","360","10.1046/j.1354-1013.2002.00486.x"
"Hobbs, Peter; Sayre, Ken D.; Gupta, Raj",2007,"The role of conservation agriculture in sustainable agriculture","Philosophical transactions of the Royal Society of London. Series B, Biological sciences","Royal Society of London","363","1491","543","555","10.1098/rstb.2007.2169"
"Ulyatt, M. J.; Thomson, D. J.; Beever, David E.; Evans, R. T.; Haines, M. J.",1988,"The digestion of perennial ryegrass (Lolium perenne cv. Melle) and white clover (Trifolium repens cv. Blanca) by grazing cattle.","The British journal of nutrition","Cambridge University Press","60","1","137","149","10.1079/bjn19880083"
"Conant, Richard T.; Paustian, Keith; Elliott, Edward T.",2001,"GRASSLAND MANAGEMENT AND CONVERSION INTO GRASSLAND: EFFECTS ON SOIL CARBON","Ecological Applications","Wiley","11","2","343","355","10.1890/1051-0761(2001)011[0343:gmacig]2.0.co;2"
"Kemp, David; Michalk, David",2007,"Towards sustainable grassland and livestock management","The Journal of Agricultural Science","Cambridge University Press (CUP)","145","6","543","564","10.1017/s0021859607007253"
"Povellato, Andrea; Bosello, Francesco; Giupponi, Carlo",2007,"Cost-effectiveness of greenhouse gases mitigation measures in the European agro-forestry sector: a literature survey.","Environmental Science & Policy","Elsevier BV","10","5","474","490","10.1016/j.envsci.2007.02.005"
"MacRae, J. C.; Ulyatt, M. J.",1974,"Quantitative digestion of fresh herbage by sheep: II. The sites of digestion of some nitrogenous constituents","The Journal of Agricultural Science","Cambridge University Press (CUP)","82","2","309","319","10.1017/s0021859600059207"
"Al-Kaisi, NA; Yin, Xinhua",2005,"Tillage and crop residue effects on soil carbon and carbon dioxide emission in corn-soybean rotations.","Journal of environmental quality","ASA/CSSA/SSSA","34","2","437","445","10.2134/jeq2005.0437"
"Lynch, Derek H.; Cohen, R. D. H.; Fredeen, A. H.; Patterson, G.; Martin, Ralph C.",2005,"Management of Canadian prairie region grazed grasslands: Soil C sequestration, livestock productivity and profitability","Canadian Journal of Soil Science","Canadian Science Publishing","85","2","183","192","10.4141/s04-053"
"Li, Hongwen; Gao, Huanwen; Wu, Hongdan; Li, Wenying; Wang, Xiaoyan; He, Jin",2007,"Effects of 15 years of conservation tillage on soil structure and productivity of wheat cultivation in northern China","Soil Research","CSIRO Publishing","45","5","344","350","10.1071/sr07003"
"Ahmad, Shahrear; Li, Chengfang; Dai, Guang-zhao; Zhan, Ming; Wang, Jinping; Pan, Shenggang; Cao, Cougui",2009,"Greenhouse gas emission from direct seeding paddy field under different rice tillage systems in central China.","Soil and Tillage Research","Elsevier BV","106","1","54","61","10.1016/j.still.2009.09.005"
"Kammann, Claudia; Grünhage, Ludger; Jäger, Hans-Jürgen; Wachinger, G.",2001,"Methane fluxes from differentially managed grassland study plots: the important role of CH4 oxidation in grassland with a high potential for CH4 production.","Environmental pollution (Barking, Essex : 1987)","Elsevier Limited","115","2","261","273","10.1016/s0269-7491(01)00103-8"
"Voorhees, W.B.",1987,"Assessment of soil susceptibility to compaction using soil and climatic data bases","Soil and Tillage Research","Elsevier BV","10","1","29","38","10.1016/0167-1987(87)90005-5"
"Tisdall, Judith.; Oades, J.M.",1982,"Organic matter and water‐stable aggregates in soils","Journal of Soil Science","Wiley","33","2","141","163","10.1111/j.1365-2389.1982.tb01755.x"
"Kaschuk, Glaciela; Alberton, Odair; Hungria, Mariangela",2010,"Three decades of soil microbial biomass studies in Brazilian ecosystems: lessons learned about soil quality and indications for improving sustainability.","Soil Biology and Biochemistry","Elsevier BV","42","1","1","13","10.1016/j.soilbio.2009.08.020"
"Lal, R.; Henderlong, P.; Flowers, M.; Kimble, J. M.; Follett, R. F.; Stewart, B. A.",1998,"Forages and row cropping effects on soil organic carbon and nitrogen contents.",NA,NA,NA,NA,"365","379",NA
"La Scala, N.; Bolonhezi, D.; Pereira, G.T.",2006,"Short-term soil CO2 emission after conventional and reduced tillage of a no-till sugar cane area in southern Brazil","Soil and Tillage Research","Elsevier BV","91","1-2","244","248","10.1016/j.still.2005.11.012"
"Górny, A. G.; Sodkiewicz, T.",2001,"Genetic analysis of the nitrogen and phosphorus utilization efficiencies in mature spring barley plants","Plant Breeding","Wiley","120","2","129","132","10.1046/j.1439-0523.2001.00584.x"
"Mickelson, Suzanne; See, Deven R.; Meyer, Fletcher D.; Garner, John P.; Foster, Curt R.; Blake, Tom; Fischer, Andreas M.",2003,"Mapping of QTL associated with nitrogen storage and remobilization in barley (Hordeum vulgare L.) leaves","Journal of experimental botany","Oxford University Press","54","383","801","812","10.1093/jxb/erg084"
"ROCHETTE, P",2008,"No-till only increases N2O emissions in poorly-aerated soils","Soil and Tillage Research","Elsevier BV","101","1-2","97","100","10.1016/j.still.2008.07.011"
"Sun, X.Z.; Hoskin, S.O.; Muetzel, S.; Molano, G.; Clark, H.",2011,"Effects of forage chicory (Cichorium intybus) and perennial ryegrass (Lolium perenne) on methane emissions in vitro and from sheep","Animal Feed Science and Technology","Elsevier BV","166-167",NA,"391","397","10.1016/j.anifeedsci.2011.04.027"
"Hassink, Jan; Whitmore, Andrew P.",1997,"A model of the physical protection of organic matter in soils","Soil Science Society of America Journal","Wiley","61","1","131","139","10.2136/sssaj1997.03615995006100010020x"
"Abdalla, Mohamed; Kumar, S.; Jones, Michael B.; Burke, J. I.; Williams, Michael",2011,"Testing DNDC model for simulating soil respiration and assessing the effects of climate change on the CO2 gas flux from Irish agriculture","Global and Planetary Change","Elsevier","78","3","106","115",NA
"Dobbie, K. E.; Smith, Keith",2001,"The effects of temperature, water-filled pore space and land use on N2O emissions from an imperfectly drained gleysol","European Journal of Soil Science","Wiley","52","4","667","673","10.1046/j.1365-2389.2001.00395.x"
"Holland, John M.",2004,"The environmental consequences of adopting conservation tillage in Europe: reviewing the evidence","Agriculture, Ecosystems & Environment","Elsevier BV","103","1","1","25","10.1016/j.agee.2003.12.018"
"Cochran, Verlan L.; Sparrow, Elena; Schlentner, Sharon F.; Knight, Charles W.",1997,"Long-term tillage and crop residue management in the subarctic: fluxes of methane and nitrous oxide","Canadian Journal of Soil Science","Canadian Science Publishing","77","4","565","570","10.4141/s96-089"
"Subbarao, Guntur V.; Tomohiro, Ban; Masahiro, Kishii; Osamu, Ito; Samejima, H.; Wang, Huoyan; Pearse, Stuart J.; Gopalakrishnan, Subramaniam; Nakahara, K.; Hossain, A. K. M. Zakir; Tsujimoto, Hisashi; Berry, W. L.",2007,"Can biological nitrification inhibition (BNI) genes from perennial Leymus racemosus (Triticeae) combat nitrification in wheat farming","Plant and Soil","Springer Netherlands","299","1","55","64",NA
"Mannetje, L. ’t",2007,"Climate change and grasslands through the ages: an overview","Grass and Forage Science","Wiley","62","2","113","117","10.1111/j.1365-2494.2007.00574.x"
"Marshall, Athole H.; Bryant, David; Latypova, Galina; Hauck, Barbara; Olyott, P.; Morris, Phillip; Robbins, Mark P.",2008,"A high-throughput method for the quantification of proanthocyanidins in forage crops and its application in assessing variation in condensed tannin content in breeding programmes for Lotus corniculatus and Lotus uliginosus.","Journal of agricultural and food chemistry","American Chemical Society","56","3","974","981","10.1021/jf072330+"
"Liu, Xuejun; Mosier, Arvin R.; Halvorson, Ardell D.; Zhang, Fusuo",2006,"The Impact of Nitrogen Placement and Tillage on NO, N2O, CH4 and CO2 Fluxes from a Clay Loam Soil","Plant and Soil","Springer Netherlands","280","1","177","188",NA
"Alvarez, Roberto; Álvarez, Carina Rosa; Lorenzo, Gabriel A.",2001,"Carbon dioxide fluxes following tillage from a mollisol in the Argentine Rolling Pampa","European Journal of Soil Biology","Elsevier BV","37","3","161","166","10.1016/s1164-5563(01)01085-8"
"Cunningham, Heidi M.; Chaney, Keith; Bradbury, Richard B.; Wilcox, Andrew",2004,"Non‐inversion tillage and farmland birds: a review with special reference to the UK and Europe","Ibis","Wiley","146","2","192","202","10.1111/j.1474-919x.2004.00354.x"
"Flechard, Christophe; Ambus, Per; Skiba, Ute; Rees, Robert M.; Hensen, Arjan; van Amstel, A.R.; van del Pol-van Dasselaar, A.; Soussana, Jean-François; Jones, Michael B.; Clifton-Brown, John; Raschi, Antonio; Horváth, László; Neftel, Albrecht; Jocher, Markus; Ammann, Christof; Leifeld, Jens; Fuhrer, J.; Calanca, Pierluigi; Thalman, E.; Pilegaard, Kim; Di Marco, C. F.; Campbell, Claire; Nemitz, Eiko; Hargreaves, K.J.; Levy, Peter; Ball, Bruce C.; Jones, Stephanie K.; van de Bulk, W. C. M.; Groot, T.; Blom, M.; Domingues, R.; Kasper, G.; Allard, Vincent; Ceschia, Eric; Cellier, Pierre; Laville, Patricia; Hénault, Catherine; Bizouard, Florian; Abdalla, Mohamed; Williams, Michael; Baronti, Silvia; Berretti, F.; Grosz, B.",2007,"Effects of climate and management intensity on nitrous oxide emissions in grassland systems across Europe","Agriculture, Ecosystems & Environment","Elsevier","121","1","135","152",NA
"Tilman, David",1999,"Global environmental impacts of agricultural expansion: The need for sustainable and efficient practices","Proceedings of the National Academy of Sciences of the United States of America",NA,"96","11","5995","6000","10.1073/pnas.96.11.5995"
